Depth ice/snow [m],Age model [ka]
909.7,55.971
910.25,56.023
910.8,56.076
911.35,56.128
911.9,56.178
912.45,56.226
913.0,56.275
913.55,56.326
914.1,56.376
914.65,56.424
915.2,56.474
915.75,56.523
916.3,56.571
916.85,56.618
917.4,56.669
917.95,56.716
918.5,56.766
919.05,56.812
919.6,56.858
920.15,56.903
920.7,56.948
921.25,56.994
921.8,57.041
922.35,57.086
922.9,57.13
923.45,57.172
924.0,57.216
924.55,57.258
925.1,57.3
925.65,57.346
926.2,57.395
926.75,57.443
927.3,57.488
927.85,57.532
928.4,57.578
928.95,57.625
929.5,57.669
930.05,57.713
930.6,57.76
931.15,57.809
931.7,57.857
932.25,57.904
932.8,57.949
933.35,57.994
933.9,58.039
934.45,58.081
935.0,58.127
935.55,58.17
936.1,58.212
936.65,58.254
937.2,58.297
937.75,58.338
938.3,58.379
938.85,58.422
939.4,58.467
939.95,58.511
940.5,58.552
941.05,58.592
941.6,58.633
942.15,58.676
942.7,58.718
943.25,58.76
943.8,58.803
944.35,58.847
944.9,58.892
945.45,58.936
946.0,58.98
946.55,59.024
947.1,59.067
947.65,59.11
948.2,59.153
948.75,59.201
949.3,59.242
949.85,59.286
950.4,59.333
950.95,59.381
951.5,59.426
952.05,59.469
952.6,59.514
953.15,59.56
953.7,59.606
954.25,59.65
954.8,59.7
